 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	152.102	451.761	39.284	31.984	83.000	-0.016	0.000	59.645	0	23.485	22.768	streak	0.537	bound	126.510	126.510	154.402	166.828	yes	streak-bound
2	2	154.383	344.953	29.996	86.984	66.438	-0.016	0.438	63.756	0	23.306	185.938	Undefined	0.470	free	126.347	126.347	155.543	168.014	yes	Undefined-free
3	3	169.149	376.339	32.725	82.000	73.000	0.000	0.000	72.614	0	22.768	22.768	streak	0.494	free	140.694	140.694	160.845	173.527	yes	streak-free
4	4	160.059	607.873	52.859	63.719	44.312	-0.281	0.312	60.801	0	92.774	75.812	streak	0.476	free	141.939	141.939	161.223	173.921	yes	streak-free
5	5	128.077	558.863	48.597	75.000	81.359	0.000	0.359	55.781	0	22.768	80.560	streak	0.449	free	113.653	113.653	155.054	167.506	yes	streak-free
6	6	144.123	372.762	32.414	23.000	9.016	0.000	0.016	62.849	0	22.768	29.553	streak	0.479	free	128.776	128.776	153.615	166.010	yes	streak-free
7	7	143.313	483.504	42.044	43.688	56.000	-0.312	0.000	59.062	0	80.834	25.804	streak	0.447	free	130.000	130.000	152.472	164.820	yes	streak-free
8	9	159.921	354.320	30.810	69.984	14.000	-0.016	0.000	63.396	0	23.127	22.768	streak	0.439	free	141.204	141.204	148.965	161.170	yes	streak-free
9	10	136.852	372.463	32.388	51.984	32.000	-0.016	0.000	51.891	0	23.306	22.768	streak	0.406	free	122.082	122.082	147.984	160.149	yes	streak-free
10	11	140.400	357.301	31.070	81.984	24.000	-0.016	0.000	58.618	0	22.768	22.768	streak	0.393	free	119.939	119.939	147.504	159.649	yes	streak-free
11	12	131.667	442.019	38.436	29.000	17.297	0.000	0.297	49.060	0	22.768	82.789	streak	0.343	free	110.796	110.796	146.376	158.474	yes	streak-free
12	13	160.295	325.014	28.262	21.000	80.000	0.000	0.000	58.120	0	22.768	22.768	streak	0.428	free	135.429	135.429	147.623	159.773	yes	streak-free
13	14	153.684	329.038	28.612	88.000	22.000	0.000	0.000	60.705	0	22.768	22.768	streak	0.419	free	133.367	133.367	148.221	160.395	yes	streak-free
14	15	144.070	383.266	33.327	39.984	37.516	0.984	-0.484	69.902	0	393.963	77.004	streak	0.481	free	141.531	141.531	148.097	160.267	yes	streak-free
15	16	157.863	360.478	31.346	30.797	40.000	-0.203	0.000	68.405	0	70.632	22.768	streak	0.433	free	119.000	119.000	148.851	161.052	yes	streak-free
16	17	131.637	316.836	27.551	45.547	66.000	-0.453	0.000	56.556	0	126.497	29.098	streak	0.429	free	106.796	106.796	147.974	160.138	yes	streak-free
17	18	144.021	331.091	28.791	68.000	29.984	0.000	-0.016	62.177	0	25.443	22.768	streak	0.427	free	116.612	116.612	147.882	160.043	yes	streak-free
18	19	146.134	397.297	34.548	45.000	22.719	0.000	-0.281	73.058	0	27.482	81.331	streak	0.497	free	119.388	119.388	147.911	160.073	yes	streak-free
19	20	142.233	278.588	24.225	53.000	15.719	0.000	-0.281	60.906	0	22.768	154.840	Undefined	0.419	free	117.429	117.429	147.742	159.897	yes	Undefined-free
20	22	120.308	201.983	17.564	19.594	33.047	-0.406	1.047	60.651	0	184.390	410.788	Undefined	0.484	free	135.041	135.041	146.545	158.651	yes	Undefined-free
21	23	137.479	406.713	35.366	63.000	51.656	0.000	-0.344	50.792	0	22.768	87.317	streak	0.407	free	127.878	127.878	146.238	158.331	yes	streak-free
22	24	148.550	628.232	54.629	72.312	58.594	0.312	-0.406	53.480	0	107.900	84.417	streak	0.438	free	152.959	152.959	146.438	158.540	yes	streak-free
