 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	118.523	450.475	75.079	46.297	30.000	0.297	0.000	40.970	0	77.615	22.768	streak	0.480	free	107.531	107.531	119.723	130.665	yes	streak-free
2	3	119.584	430.256	71.709	12.672	44.000	-0.328	0.000	45.923	0	78.790	22.768	streak	0.451	free	108.796	108.796	116.476	127.268	yes	streak-free
3	4	126.651	284.809	47.468	54.984	14.000	-0.016	0.000	49.448	0	23.485	22.768	streak	0.426	free	109.714	109.714	119.319	130.243	yes	streak-free
4	5	115.090	276.957	46.160	67.016	18.000	0.016	0.000	51.431	0	22.768	213.546	Undefined	0.492	free	107.551	107.551	118.714	129.609	yes	Undefined-free
5	6	112.626	356.328	59.388	15.219	72.188	0.219	0.188	46.643	0	77.257	73.855	streak	0.405	free	96.898	96.898	117.899	128.757	yes	streak-free
6	7	124.512	320.545	53.424	69.000	68.250	0.000	0.250	55.896	0	22.768	74.806	streak	0.384	free	94.041	94.041	119.015	129.925	yes	streak-free
7	8	130.196	253.620	42.270	39.000	36.000	0.000	0.000	44.110	0	22.768	22.768	streak	0.460	free	127.816	127.816	120.563	131.543	yes	streak-free
8	9	106.951	276.178	46.030	27.000	64.000	0.000	0.000	52.457	0	22.768	22.768	streak	0.433	free	85.755	85.755	119.184	130.101	yes	streak-free
9	10	112.657	329.611	54.935	25.641	31.562	-0.359	-0.438	39.239	0	175.657	91.790	streak	0.433	free	105.592	105.592	118.651	129.544	yes	streak-free
10	11	119.754	261.926	43.654	46.000	42.000	0.000	0.000	47.987	0	22.768	22.768	streak	0.434	free	95.449	95.449	118.860	129.763	yes	streak-free
11	13	112.361	372.704	62.117	70.641	88.000	-0.359	0.000	47.579	0	83.814	22.768	streak	0.391	free	89.020	89.020	118.419	129.301	yes	streak-free
12	14	109.260	268.776	44.796	30.000	41.000	0.000	0.000	44.505	0	22.768	22.768	streak	0.430	free	95.898	95.898	117.807	128.660	yes	streak-free
13	15	116.035	206.719	34.453	55.766	50.359	-0.234	0.359	45.467	0	124.625	209.076	spot	0.457	free	105.143	105.143	117.766	128.618	yes	spot-free
14	16	115.464	256.741	42.790	80.875	39.375	-0.125	0.375	49.099	0	219.773	81.496	streak	0.446	free	95.796	95.796	117.692	128.541	yes	streak-free
15	17	110.329	139.473	23.246	9.000	89.531	0.000	-0.469	47.074	0	27.287	352.451	Undefined	0.448	free	87.184	87.184	117.307	128.138	yes	Undefined-free
16	18	105.132	408.671	68.112	14.531	55.375	-0.469	0.375	36.937	0	80.079	135.945	streak	0.398	free	97.327	97.327	116.661	127.462	yes	streak-free
17	20	119.321	207.296	34.549	68.391	76.250	0.391	0.250	51.072	0	335.018	70.473	streak	0.500	bound	108.816	108.816	116.876	127.687	yes	streak-bound
18	21	129.231	229.874	38.312	91.000	91.000	0.000	0.000	52.580	0	22.768	22.768	streak	0.452	free	113.653	113.653	117.589	128.433	yes	streak-free
19	22	119.629	417.827	69.638	83.312	32.656	0.312	-0.344	48.080	0	74.521	111.518	streak	0.477	free	110.551	110.551	117.751	128.603	yes	streak-free
20	23	138.261	357.729	59.621	8.203	80.375	0.203	0.375	49.620	0	122.653	85.758	streak	0.471	free	119.367	119.367	118.785	129.684	yes	streak-free
21	24	114.647	252.614	42.102	18.109	26.438	0.109	0.438	48.738	0	343.195	83.883	streak	0.462	free	94.592	94.592	118.651	129.544	yes	streak-free
22	25	124.807	242.583	40.431	28.109	47.969	0.109	-0.031	56.531	0	99.976	24.231	streak	0.448	free	97.204	97.204	118.971	129.879	yes	streak-free
23	27	126.739	301.161	50.193	59.656	74.000	-0.344	0.000	58.990	0	84.418	22.768	streak	0.473	free	109.449	109.449	119.345	130.269	yes	streak-free
24	28	115.750	195.175	32.529	54.219	31.000	0.219	0.000	52.179	0	246.034	22.768	streak	0.449	free	91.184	91.184	119.249	130.169	yes	streak-free
25	30	117.720	328.493	54.749	33.656	72.047	-0.344	0.047	51.914	0	83.266	111.403	streak	0.450	free	97.776	97.776	119.236	130.156	yes	streak-free
26	32	100.782	412.188	68.698	16.422	64.000	0.422	0.000	45.391	0	80.834	22.768	streak	0.382	free	78.184	78.184	118.501	129.387	yes	streak-free
27	34	110.584	271.735	45.289	62.578	41.375	-0.422	0.375	44.636	0	237.333	92.002	streak	0.449	free	115.755	115.755	118.269	129.145	yes	streak-free
28	35	109.353	191.063	31.844	64.141	29.000	0.141	0.000	43.152	0	200.000	23.852	streak	0.402	free	93.163	93.163	118.012	128.876	yes	streak-free
29	36	117.152	245.442	40.907	70.188	11.984	0.188	-0.016	45.710	0	145.876	23.503	streak	0.410	free	101.633	101.633	118.023	128.887	yes	streak-free
30	37	112.507	215.776	35.963	85.000	45.859	0.000	-0.141	49.303	0	22.768	188.942	Undefined	0.428	free	88.980	88.980	117.888	128.746	yes	Undefined-free
31	39	114.763	278.940	46.490	53.297	59.000	0.297	0.000	40.716	0	80.560	22.768	streak	0.397	free	104.429	104.429	117.222	128.049	yes	streak-free
32	40	118.929	391.018	65.170	26.531	72.000	-0.469	0.000	44.338	0	84.533	22.768	streak	0.379	free	112.408	112.408	117.305	128.136	yes	streak-free
33	41	119.670	214.058	35.676	40.000	45.000	0.000	0.000	48.361	0	22.768	22.768	streak	0.404	free	93.980	93.980	117.404	128.239	yes	streak-free
34	42	118.060	215.937	35.989	45.000	55.000	0.000	0.000	50.891	0	22.768	22.768	streak	0.382	free	92.878	92.878	117.454	128.292	yes	streak-free
35	44	111.769	276.672	46.112	56.688	25.000	-0.312	0.000	34.561	0	85.931	22.768	streak	0.299	free	93.959	93.959	117.336	128.168	yes	streak-free
36	47	101.744	387.753	64.626	50.484	87.578	0.484	-0.422	42.560	0	94.885	87.317	streak	0.386	free	77.837	77.837	116.967	127.782	yes	streak-free
37	50	115.714	300.739	50.123	18.359	15.344	0.359	0.344	47.385	0	91.660	90.186	streak	0.413	free	108.184	108.184	116.966	127.781	yes	streak-free
38	51	121.536	325.130	54.188	74.344	46.594	0.344	-0.406	46.740	0	87.827	122.789	streak	0.462	free	119.429	119.429	117.106	127.928	yes	streak-free
39	56	116.734	197.280	32.880	91.000	39.000	0.000	0.000	52.323	0	22.768	22.768	streak	0.404	free	95.796	95.796	117.014	127.831	yes	streak-free
40	57	108.859	210.304	35.051	10.156	19.078	0.156	0.078	44.110	0	276.276	114.806	streak	0.462	free	109.939	109.939	116.856	127.666	yes	streak-free
41	58	121.842	202.706	33.784	26.875	16.000	-0.125	0.000	49.105	0	69.853	22.768	streak	0.403	free	99.592	99.592	116.993	127.810	yes	streak-free
42	60	117.898	301.953	50.325	28.438	12.000	0.438	0.000	49.061	0	83.883	22.768	streak	0.405	free	93.082	93.082	117.039	127.857	yes	streak-free
43	63	108.205	159.526	26.588	12.234	30.734	0.234	0.734	57.339	0	112.948	380.407	Undefined	0.470	free	100.449	100.449	116.688	127.490	yes	Undefined-free
44	64	117.554	148.830	24.805	25.984	54.484	-0.016	-0.516	58.886	0	23.873	199.951	Undefined	0.377	free	91.204	91.204	116.730	127.534	yes	Undefined-free
45	67	109.281	316.765	52.794	37.156	13.359	0.156	0.359	42.582	0	80.262	79.926	streak	0.404	free	103.531	103.531	116.605	127.403	yes	streak-free
46	69	113.529	241.327	40.221	62.656	85.000	-0.344	0.000	47.548	0	89.214	22.768	streak	0.386	free	101.286	101.286	116.568	127.365	yes	streak-free
47	72	118.838	76.872	12.812	89.766	34.016	-0.234	0.016	60.580	0	177.181	374.431	Undefined	0.466	free	96.796	96.796	116.635	127.435	no	Undefined-free
48	73	108.887	126.115	21.019	16.906	82.250	-0.094	0.250	53.752	0	163.944	259.400	spot	0.383	free	93.367	93.367	116.511	127.305	no	spot-free
49	79	111.036	200.729	33.455	29.984	81.906	-0.016	-0.094	42.474	0	22.768	156.885	Undefined	0.367	free	87.367	87.367	115.226	125.960	yes	Undefined-free
50	81	109.941	133.173	22.195	85.062	57.984	0.062	-0.016	49.945	0	300.000	27.501	streak	0.403	free	91.653	91.653	115.153	125.884	yes	streak-free
51	82	107.989	180.342	30.057	38.000	25.031	0.000	0.031	42.489	0	22.768	122.986	streak	0.364	free	93.633	93.633	115.048	125.774	yes	streak-free
52	104	116.465	146.343	24.391	9.000	62.000	0.000	0.000	42.925	0	22.768	22.768	streak	0.315	free	91.408	91.408	115.093	125.821	yes	streak-free
