 	ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	1	118.886	380.957	33.127	67.984	64.000	-0.016	0.000	41.795	0	22.768	22.768	streak	0.492	free	109.837	109.837	121.186	132.195	yes	streak-free
2	2	109.701	357.887	31.121	34.922	10.000	-0.078	0.000	46.344	0	89.180	22.768	streak	0.485	free	108.041	108.041	116.594	127.391	yes	streak-free
3	3	116.547	434.331	37.768	39.672	49.828	-0.328	-0.172	62.556	0	86.589	89.341	streak	0.510	bound	93.143	93.143	117.345	128.177	yes	streak-bound
4	4	118.084	327.991	28.521	61.156	25.391	0.156	0.391	49.953	0	250.695	88.659	streak	0.509	bound	116.592	116.592	118.105	128.972	yes	streak-bound
5	5	118.662	315.421	27.428	34.000	23.984	0.000	-0.016	44.172	0	22.768	27.042	streak	0.415	free	100.531	100.531	118.676	129.570	yes	streak-free
6	6	130.635	379.975	33.041	72.000	79.297	0.000	0.297	61.153	0	22.768	80.202	streak	0.522	bound	104.755	104.755	121.052	132.055	yes	streak-bound
7	7	110.672	263.398	22.904	78.703	88.172	-0.297	0.172	40.234	0	176.225	114.398	spot	0.442	free	103.469	103.469	119.898	130.848	yes	spot-free
8	8	119.101	246.179	21.407	80.000	37.719	0.000	-0.281	56.526	0	22.768	188.851	Undefined	0.442	free	108.204	108.204	120.086	131.044	yes	Undefined-free
9	10	108.704	343.080	29.833	71.000	23.734	0.000	-0.266	46.542	0	26.214	134.261	streak	0.455	free	97.592	97.592	117.681	128.529	yes	streak-free
10	11	118.457	283.949	24.691	83.984	82.000	-0.016	0.000	47.422	0	23.873	22.768	streak	0.357	free	82.959	82.959	117.960	128.821	yes	streak-free
11	12	107.884	410.211	35.671	42.516	68.938	-0.484	-0.062	43.942	0	91.790	108.686	streak	0.408	free	106.612	106.612	117.312	128.144	yes	streak-free
12	13	118.025	278.014	24.175	60.000	40.000	0.000	0.000	52.115	0	22.768	22.768	streak	0.449	free	96.184	96.184	117.544	128.386	yes	streak-free
13	14	122.079	270.535	23.525	8.984	35.000	-0.016	0.000	54.266	0	27.911	22.768	streak	0.450	free	103.224	103.224	118.032	128.897	yes	streak-free
14	15	110.186	279.700	24.322	43.000	31.000	0.000	0.000	53.556	0	22.768	22.768	streak	0.391	free	86.673	86.673	117.663	128.510	yes	streak-free
15	16	113.979	342.982	29.825	83.703	51.000	-0.297	0.000	51.397	0	81.496	30.243	streak	0.413	free	96.388	96.388	117.576	128.419	yes	streak-free
16	17	109.901	376.987	32.782	38.234	18.219	0.234	0.219	43.631	0	75.395	83.714	streak	0.418	free	93.020	93.020	117.260	128.089	yes	streak-free
17	18	105.242	409.375	35.598	56.328	56.609	0.328	-0.391	43.709	0	82.714	106.251	streak	0.436	free	107.163	107.163	116.720	127.524	yes	streak-free
18	19	117.965	254.429	22.124	86.000	31.000	0.000	0.000	64.122	0	22.768	22.768	streak	0.487	free	91.367	91.367	116.907	127.719	yes	streak-free
19	20	107.336	421.217	36.628	72.469	35.000	0.469	0.000	50.083	0	92.518	22.768	streak	0.480	free	93.347	93.347	116.543	127.339	yes	streak-free
20	21	116.873	317.034	27.568	53.000	76.250	0.000	0.250	39.728	0	22.768	72.036	streak	0.341	free	100.551	100.551	116.668	127.470	yes	streak-free
21	22	116.056	369.861	32.162	27.641	78.000	-0.359	0.000	46.117	0	78.949	22.768	streak	0.431	free	106.020	106.020	116.745	127.550	yes	streak-free
22	27	110.775	416.141	36.186	48.422	8.000	0.422	0.000	52.680	0	82.758	22.768	streak	0.369	free	89.531	89.531	116.259	127.041	yes	streak-free
23	29	114.033	220.092	19.138	51.984	35.656	-0.016	-0.344	40.736	0	301.440	97.848	streak	0.419	free	111.347	111.347	116.262	127.045	yes	streak-free
24	30	114.372	134.504	11.696	17.031	71.000	-1.969	0.000	50.517	0	492.436	22.768	streak	0.459	free	96.143	96.143	116.278	127.061	yes	streak-free
25	34	118.643	178.441	15.517	28.344	65.016	0.344	0.016	47.638	0	80.461	353.910	Undefined	0.459	free	118.204	118.204	116.451	127.242	yes	Undefined-free
26	35	111.885	153.823	13.376	73.797	42.297	-0.203	0.297	49.260	0	279.320	150.491	spot	0.458	free	103.163	103.163	116.370	127.157	yes	spot-free
27	37	129.482	203.340	17.682	82.000	73.000	0.000	0.000	50.431	0	22.768	22.768	streak	0.434	free	99.898	99.898	116.901	127.713	yes	streak-free
28	40	95.675	206.684	17.973	80.359	23.312	0.359	-0.688	38.906	0	187.364	109.146	spot	0.377	free	88.449	88.449	113.712	124.376	yes	spot-free
29	41	134.444	240.617	20.923	38.750	89.000	-0.250	0.000	43.950	0	71.858	22.768	streak	0.347	free	115.633	115.633	114.432	125.129	yes	streak-free
30	43	106.616	285.323	24.811	28.688	40.750	-0.312	-0.250	50.752	0	101.156	156.885	Undefined	0.403	free	85.061	85.061	113.681	124.343	yes	Undefined-free
31	44	105.923	258.303	22.461	71.656	13.312	-0.344	0.312	40.866	0	80.709	293.005	Undefined	0.413	free	101.143	101.143	113.525	124.179	yes	Undefined-free
