ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	141.875	435.881	37.903	48.734	36.000	-0.266	0.000	55.203	0	80.209	22.768	streak	0.459	free	119.327	119.327	144.175	156.182	yes	streak-free
2	135.244	348.405	30.296	89.000	85.000	0.000	0.000	52.416	0	22.768	22.768	streak	0.404	free	101.143	101.143	140.859	152.728	yes	streak-free
3	142.643	415.436	36.125	61.297	27.000	0.297	0.000	55.157	0	78.565	22.768	streak	0.479	free	114.939	114.939	142.221	154.146	yes	streak-free
4	125.720	402.179	34.972	33.188	88.703	0.188	-0.297	53.747	0	108.777	123.145	streak	0.436	free	104.469	104.469	138.670	150.446	yes	streak-free
5	136.564	367.785	31.981	26.359	59.312	0.359	-0.688	51.672	0	75.305	226.242	Undefined	0.500	bound	129.347	129.347	138.709	150.487	yes	Undefined-bound
6	148.719	355.787	30.938	12.531	29.000	-0.469	0.000	67.245	0	81.331	215.015	Undefined	0.514	bound	143.816	143.816	140.761	152.625	yes	Undefined-bound
7	121.958	334.308	29.070	49.000	25.000	0.000	0.000	47.947	0	22.768	22.768	streak	0.384	free	95.408	95.408	138.403	150.168	yes	streak-free
8	134.554	315.112	27.401	49.984	52.000	-0.016	0.000	71.994	0	23.485	22.768	streak	0.465	free	89.959	89.959	138.210	149.966	yes	streak-free
9	122.302	224.220	19.497	83.344	15.000	0.344	0.000	47.118	0	360.345	22.768	streak	0.473	free	129.735	129.735	136.698	148.389	yes	streak-free
10	136.592	386.901	33.644	57.266	90.000	0.266	0.000	56.565	0	76.649	22.768	streak	0.456	free	110.000	110.000	136.917	148.618	yes	streak-free
11	128.870	297.372	25.858	16.297	15.328	0.297	0.328	55.399	0	78.790	234.718	Undefined	0.426	free	117.388	117.388	136.395	148.073	yes	Undefined-free
12	135.036	524.378	45.598	77.578	69.250	-0.422	0.250	53.827	0	84.588	85.917	streak	0.480	free	119.878	119.878	136.473	148.155	yes	streak-free
14	126.650	381.918	33.210	84.297	64.000	0.297	0.000	53.001	0	78.790	22.768	streak	0.434	free	104.796	104.796	135.894	147.552	yes	streak-free
17	126.117	514.364	44.727	85.344	57.422	0.344	0.422	50.228	0	80.040	88.788	streak	0.442	free	113.531	113.531	135.360	146.995	yes	streak-free
18	132.019	540.015	46.958	26.984	7.547	-0.016	-0.453	62.824	0	115.137	76.402	streak	0.486	free	108.469	108.469	135.291	146.922	yes	streak-free
19	131.185	277.595	24.139	71.984	73.000	-0.016	0.000	56.302	0	22.768	22.768	streak	0.432	free	100.776	100.776	135.178	146.805	yes	streak-free
21	120.112	447.435	38.907	72.562	81.250	-0.438	0.250	60.567	0	73.976	195.340	Undefined	0.512	bound	112.347	112.347	131.245	142.701	yes	Undefined-bound
22	128.631	179.330	15.594	16.578	67.047	-0.422	0.047	58.959	0	155.430	218.750	spot	0.461	free	109.102	109.102	131.228	142.684	yes	spot-free
24	140.898	279.307	24.288	20.000	58.750	0.000	-0.250	57.905	0	22.768	73.312	streak	0.445	free	122.286	122.286	131.724	143.202	yes	streak-free
25	134.261	338.992	29.478	65.703	82.812	-0.297	-0.188	51.774	0	146.503	76.402	streak	0.449	free	121.694	121.694	131.944	143.431	yes	streak-free
26	125.031	472.065	41.049	68.547	37.516	-0.453	-0.484	55.768	0	91.264	89.401	streak	0.416	free	110.571	110.571	131.744	143.222	yes	streak-free
29	123.016	84.443	7.343	79.031	28.156	-1.969	0.156	60.450	0	455.246	313.628	spot	0.478	free	127.163	127.163	131.622	143.095	no	spot-free
30	123.181	250.658	21.796	30.000	25.000	0.000	0.000	48.612	0	22.768	22.768	streak	0.403	free	102.061	102.061	131.386	142.848	yes	streak-free
31	133.054	164.617	14.315	36.719	16.609	-0.281	-0.391	57.888	0	79.422	402.119	Undefined	0.474	free	122.878	122.878	131.533	143.001	yes	Undefined-free
32	125.407	348.287	30.286	69.797	44.391	-0.203	0.391	49.943	0	87.036	96.672	streak	0.441	free	105.449	105.449	131.396	142.859	yes	streak-free
33	124.481	247.660	21.536	33.000	42.984	0.000	-0.016	63.520	0	28.196	23.485	streak	0.443	free	95.306	95.306	131.237	142.693	yes	streak-free
34	112.781	225.702	19.626	41.281	67.594	0.281	-0.406	48.097	0	299.187	104.083	streak	0.400	free	103.592	103.592	130.698	142.131	yes	streak-free
35	130.484	287.118	24.967	54.656	80.547	-0.344	-0.453	49.538	0	103.873	153.892	Undefined	0.418	free	118.367	118.367	130.766	142.201	yes	Undefined-free
