ROI	z	a	stoichiometry	xpos	ypos	x0	y0	Chi^2	Good?	wx	wy	streak or spot?	Correlation Coefficient	free or bound?	iFirst	iSecond	pthresh	realthreshold	Above threshold?	Shape-Binding
1	85.228	251.229	21.846	67.000	21.141	0.000	0.141	35.202	0	30.470	66.462	streak	0.539	bound	81.000	81.000	87.528	96.883	yes	streak-bound
2	67.739	264.577	23.007	19.000	29.250	0.000	0.250	32.647	0	22.768	78.936	streak	0.410	free	51.429	51.429	78.783	87.659	yes	streak-free
3	83.996	209.786	18.242	30.172	54.031	0.172	0.031	30.027	0	72.263	52.048	streak	0.454	free	76.796	76.796	81.288	90.304	yes	streak-free
4	74.153	195.757	17.022	14.000	65.000	0.000	0.000	36.054	0	22.768	22.768	streak	0.464	free	60.000	60.000	80.079	89.028	yes	streak-free
5	79.112	225.540	19.612	67.062	91.203	0.062	0.203	31.620	0	27.354	105.900	streak	0.440	free	61.224	61.224	80.346	89.309	yes	streak-free
6	83.198	121.989	10.608	24.359	87.516	0.359	-0.484	37.247	0	115.058	303.857	Undefined	0.502	bound	70.980	70.980	81.204	90.216	yes	Undefined-bound
7	78.068	218.291	18.982	13.297	86.031	0.297	0.031	33.335	0	120.191	35.086	streak	0.492	free	61.776	61.776	81.085	90.090	yes	streak-free
8	82.907	150.281	13.068	41.000	48.609	0.000	-0.391	37.093	0	23.852	184.479	Undefined	0.478	free	72.082	72.082	81.600	90.633	yes	Undefined-free
9	75.559	179.571	15.615	73.000	75.000	0.000	0.000	29.612	0	22.768	25.865	streak	0.426	free	62.265	62.265	81.184	90.195	yes	streak-free
10	79.447	242.303	21.070	79.688	13.641	-0.312	-0.359	31.734	0	100.432	89.177	streak	0.419	free	66.449	66.449	81.241	90.254	yes	streak-free
12	89.303	161.321	14.028	76.984	48.000	-0.016	0.000	39.205	0	22.768	25.443	streak	0.496	free	72.918	72.918	82.183	91.248	yes	streak-free
13	72.227	174.047	15.134	34.000	12.000	0.000	0.000	35.436	0	22.768	22.768	streak	0.411	free	53.510	53.510	81.545	90.575	yes	streak-free
15	78.185	163.568	14.223	36.000	84.000	0.000	0.000	35.703	0	22.768	22.768	streak	0.458	free	60.327	60.327	80.480	89.451	yes	streak-free
16	74.865	236.887	20.599	42.891	36.250	-0.109	0.250	29.414	0	128.636	75.973	streak	0.449	free	72.163	72.163	80.259	89.217	yes	streak-free
17	74.448	142.283	12.372	55.000	46.625	0.000	-0.375	33.795	0	22.768	167.847	Undefined	0.471	free	61.245	61.245	80.039	88.986	yes	Undefined-free
18	80.017	98.819	8.593	85.000	69.797	0.000	-0.203	33.851	0	22.768	313.702	Undefined	0.424	free	67.612	67.612	80.173	89.127	yes	Undefined-free
19	67.370	206.098	17.922	88.297	44.000	0.297	0.000	24.642	0	85.254	24.286	streak	0.356	free	68.816	68.816	79.590	88.511	yes	streak-free
20	73.739	151.818	13.202	74.000	59.625	0.000	-0.375	31.864	0	22.768	136.609	streak	0.400	free	71.714	71.714	79.403	88.314	yes	streak-free
21	72.082	127.757	11.109	26.641	12.750	-0.359	0.750	34.668	0	108.420	377.610	Undefined	0.482	free	62.592	62.592	79.152	88.049	yes	Undefined-free
22	75.766	169.168	14.710	69.781	32.875	-0.219	-0.125	37.157	0	175.000	125.585	spot	0.458	free	59.673	59.673	79.100	87.994	yes	spot-free
24	79.056	207.282	18.025	30.641	47.000	-0.359	0.000	27.029	0	83.814	22.768	streak	0.390	free	64.347	64.347	79.203	88.102	yes	streak-free
25	89.449	188.341	16.377	61.000	56.609	0.000	-0.391	32.162	0	22.768	99.127	streak	0.452	free	75.612	75.612	79.748	88.678	yes	streak-free
26	67.565	70.217	6.106	26.172	24.594	0.172	-0.406	37.490	0	221.900	348.563	spot	0.489	free	64.122	64.122	79.336	88.243	no	spot-free
29	67.969	106.628	9.272	51.812	39.453	-0.188	0.453	26.216	0	496.094	101.506	streak	0.437	free	68.878	68.878	78.871	87.752	yes	streak-free
32	74.331	142.623	12.402	11.000	39.000	0.000	0.000	33.418	0	22.768	22.768	streak	0.438	free	61.755	61.755	78.788	87.665	yes	streak-free
33	74.652	143.540	12.482	26.984	79.000	-0.016	0.000	35.186	0	23.485	22.768	streak	0.406	free	57.714	57.714	78.723	87.595	yes	streak-free
34	79.307	252.386	21.947	63.500	77.125	0.500	0.125	32.910	0	96.916	52.052	streak	0.453	free	68.551	68.551	78.822	87.700	yes	streak-free
35	71.255	265.098	23.052	79.344	84.297	0.344	0.297	32.185	0	88.681	75.857	streak	0.416	free	54.204	54.204	78.647	87.515	yes	streak-free
36	78.129	210.136	18.273	44.312	65.469	0.312	0.469	34.012	0	147.583	85.931	streak	0.476	free	75.429	75.429	78.704	87.576	yes	streak-free
41	65.474	139.556	12.135	35.000	27.000	0.000	0.000	31.979	0	22.768	22.768	streak	0.348	free	49.980	49.980	78.362	87.215	yes	streak-free
42	74.946	113.693	9.886	68.000	68.828	0.000	-0.172	29.496	0	22.768	193.750	Undefined	0.416	free	63.612	63.612	78.329	87.179	yes	Undefined-free
44	76.999	184.550	16.048	85.000	60.562	0.000	-0.438	31.633	0	31.251	93.987	streak	0.458	free	68.163	68.163	78.357	87.209	yes	streak-free
45	77.031	133.270	11.589	85.828	18.984	-0.172	-0.016	33.083	0	175.781	22.768	streak	0.438	free	75.939	75.939	78.385	87.239	yes	streak-free
46	82.211	196.872	17.119	17.000	75.594	0.000	-0.406	29.146	0	22.768	78.790	streak	0.356	free	70.939	70.939	78.555	87.418	yes	streak-free
47	75.202	153.568	13.354	41.250	13.766	0.250	-0.234	31.471	0	176.239	67.004	streak	0.433	free	64.633	64.633	78.527	87.388	yes	streak-free
50	69.899	168.895	14.687	34.391	70.000	0.391	0.000	27.190	0	111.714	22.768	streak	0.362	free	57.429	57.429	78.360	87.212	yes	streak-free
52	68.014	77.019	6.697	60.250	23.375	0.250	0.375	33.574	0	268.555	249.819	spot	0.451	free	65.286	65.286	78.154	86.994	no	spot-free
55	79.239	107.304	9.331	55.953	61.688	-0.047	-0.312	27.883	0	110.151	264.905	Undefined	0.396	free	72.776	72.776	78.239	87.084	yes	Undefined-free
58	77.580	133.922	11.645	47.422	29.625	0.422	-0.375	27.840	0	280.916	83.159	streak	0.458	free	72.347	72.347	78.279	87.126	yes	streak-free
59	66.148	177.345	15.421	46.906	74.500	-0.094	0.500	26.220	0	232.422	78.867	streak	0.345	free	59.041	59.041	78.044	86.879	yes	streak-free
64	76.383	56.669	4.928	55.922	88.641	0.922	-0.359	30.718	0	381.724	189.116	Undefined	0.380	free	72.735	72.735	78.059	86.894	no	Undefined-free
66	75.639	111.290	9.677	61.000	69.000	0.000	0.000	29.594	0	22.768	29.994	streak	0.402	free	63.857	63.857	78.057	86.892	yes	streak-free
75	72.651	87.328	7.594	15.031	14.000	0.031	0.000	29.310	0	210.938	22.768	streak	0.363	free	62.592	62.592	77.988	86.819	yes	streak-free
79	77.881	79.138	6.882	64.031	15.359	0.031	0.359	27.542	0	29.743	330.326	Undefined	0.367	free	78.184	78.184	78.041	86.875	no	Undefined-free
